id,artist_name,event_type,event_name,date,venue,city,country,img_1,img_2,img_3,link,description
1141,Rammstein,concert,Europa Stadion Tour 2022,30/05/2022,Stadion Letzigrund,Zürich,Switzerland,rammstein_2022.jpg,,,https://www.rammstein.de/es/history/europa-stadion-tour-2022/,
1142,Rammstein,concert,Europa Stadion Tour 2023,23/06/2023,Estadio Metropolitano,Madrid,Spain,rammstein_2023.jpg,,,https://www.rammstein.de/es/news/gira-europea-de-estadios-2023/,
1143,Rammstein,concert,Europa Stadion Tour 2024,05/06/2024,Estadio Anoeta,San Sebastián,Spain,rammstein_2024.jpg,,,https://www.rammstein.de/es/news/europe-stadium-tour-2024/,
1144,Zoo,festival,Revenidas 2023,09/09/2023,,Vilaxoán,Spain,revenidas_cartel_2023.jpg,,,,
1145,Los Chikos del Maíz,festival,Revenidas 2023,08/09/2023,,Vilaxoán,Spain,revenidas_cartel_2023.jpg,,,,
1146,Heredeiros da crús,festival,Revenidas 2023,09/09/2023,,Vilaxoán,Spain,revenidas_cartel_2023.jpg,,,,
1147,Ska-P,festival,Revenidas 2023,09/09/2023,,Vilaxoán,Spain,revenidas_cartel_2023.jpg,,,,
1148,Rise Against,concert,,29/06/2022,Razzmatazz,Barcelona,Spain,riseagainst_2022.jpg,,,,
1149,Desakato,festival,Rivasrock,15/05/2022,Auditorio Miguel Ríos,Rivas Vaciamadrid,Spain,rivasrock_cartel_2022.jpg,,,,
1150,Soziedad Alkohólika,festival,Rivasrock,15/05/2022,Auditorio Miguel Ríos,Rivas Vaciamadrid,Spain,rivasrock_cartel_2022.jpg,,,,
1151,Lendakaris Muertos,festival,Rivasrock,15/05/2022,Auditorio Miguel Ríos,Rivas Vaciamadrid,Spain,rivasrock_cartel_2022.jpg,,,,
1152,Rockin' 1000,concert,,03/06/2023,Estadio Metropolitano,Madrid,Spain,rockin1000_2023.jpg,,,,
1153,The Rolling Stones,concert,Licks World Tour 2003,29/06/2003,Estadio Olímpico Montjuic,Barcelona,Spain,rollingstone_2003.jpg,,,https://www.elmundo.es/elmundo/2003/06/30/cultura/1056953904.html,
1154,Siniestro Total,concert,40 Años sin pisar la audiencia nacional,07/05/2022,Wizink Center (Palacio de los Deportes),Madrid,Spain,siniestrototal_2022.png,,,,
1155,Ska-P,concert,Hasta otra amigos,24/09/2005,La Cubierta,Leganés,Spain,skap_2005.jpg,,,,
1156,Ska-P,concert,,10/06/2023,Stadtpark,Hamburg,Germany,skap_talco_2023.jpg,,,,
